uniprot_acc,Tm,organism,n_measurements
A0A0G2JFT8,46.855000000000004,Mus musculus,2
A0A0G2JFY0,56.15,Mus musculus,1
A0A0G2JFZ4,49.755,Mus musculus,2
A0A0G2JGD2,55.230000000000004,Mus musculus,2
A0A0G2JGF1,51.67,Mus musculus,1
A0A0G2JGL8,48.315,Mus musculus,2
A0A0G2JGP4,46.065,Mus musculus,2
A0A0G2JGX4,54.35,Mus musculus,2
A0A0G2KCY3,48.79,Danio rerio,1
A0A0G2KD09,55.57,Danio rerio,1
A0A0G2KEA8,52.09,Danio rerio,1
A0A0G2KFS5,49.11,Danio rerio,1
A0A0G2KH64,55.64,Danio rerio,1
A0A0G2KHH5,51.24,Danio rerio,1
A0A0G2KIA0,55.24,Danio rerio,1
A0A0G2KJM7,54.24,Danio rerio,1
A0A0G2KKE8,51.0,Danio rerio,1
A0A0G2KLX0,54.34,Danio rerio,1
A0A0G2KN51,51.88,Danio rerio,1
A0A0G2KPR3,50.92,Danio rerio,1
A0A0G2KQA6,51.66,Danio rerio,1
A0A0G2KQU1,49.9,Danio rerio,1
A0A0G2KR59,52.45,Danio rerio,1
A0A0G2KSM8,55.25,Danio rerio,1
A0A0G2KSV9,49.0,Danio rerio,1
A0A0G2KVT3,47.88,Danio rerio,1
A0A0G2KWG8,50.93,Danio rerio,1
A0A0G2KXI9,46.8,Danio rerio,1
A0A0G2L141,49.95,Danio rerio,1
A0A0G2L1F5,51.81,Danio rerio,1
A0A0G2L2L7,50.15,Danio rerio,1
A0A0G2L2R7,48.15,Danio rerio,1
A0A0G2L325,46.24,Danio rerio,1
A0A0G2L3J0,49.79,Danio rerio,1
A0A0G2L3N5,47.79,Danio rerio,1
A0A0G2L3S1,51.94,Danio rerio,1
A0A0G2L4S2,54.69,Danio rerio,1
A0A0G2L4V3,51.46,Danio rerio,1
A0A0G2L5K2,51.37,Danio rerio,1
A0A0G2L8K5,49.69,Danio rerio,1
A0A0G2L974,55.59,Danio rerio,1
A0A0G2L986,50.33,Danio rerio,1
A0A0G2L9C0,52.74,Danio rerio,1
A0A0G2L9F7,49.98,Danio rerio,1
A0A0H2UH13,53.31,Mus musculus,1
A0A0H2UKB8,47.945,Mus musculus,2
A0A0H2UKD3,49.33,Danio rerio,1
A0A0H2UKE2,47.17,Danio rerio,1
A0A0H2UKE7,51.25,Danio rerio,1
A0A0H2UKF1,50.23,Danio rerio,1
A0A0H2UKF2,48.57,Danio rerio,1
A0A0H2UKK7,49.46,Danio rerio,1
A0A0H2UKL4,51.79,Danio rerio,1
A0A0H2UKP8,52.28,Danio rerio,1
A0A0H2UKU7,51.41,Danio rerio,1
A0A0J9YIW7,53.68,Danio rerio,1
A0A0J9YJ04,46.76,Danio rerio,1
A0A0J9YJ69,48.53,Danio rerio,1
A0A0J9YJF3,45.58,Danio rerio,1
A0A0J9YTR2,48.83,Mus musculus,2
A0A0J9YTU1,51.16,Mus musculus,2
A0A0J9YTU3,52.95,Mus musculus,2
A0A0J9YTY0,54.215,Mus musculus,2
A0A0J9YU61,48.37,Mus musculus,1
A0A0J9YU83,46.834999999999994,Mus musculus,2
A0A0J9YU93,53.379999999999995,Mus musculus,2
A0A0J9YUM4,50.805,Mus musculus,2
A0A0J9YUN2,51.91,Mus musculus,2
A0A0J9YUT8,46.92,Mus musculus,2
A0A0J9YUZ4,52.97,Mus musculus,2
A0A0J9YV01,46.64,Mus musculus,2
A0A0J9YV20,43.185,Mus musculus,2
A0A0K2H409,70.94,Geobacillus stearothermophilus,1
A0A0K2H416,72.33,Geobacillus stearothermophilus,1
A0A0K2H440,62.18,Geobacillus stearothermophilus,1
A0A0K2H450,66.97,Geobacillus stearothermophilus,1
A0A0K2H482,67.69,Geobacillus stearothermophilus,1
A0A0K2H4B3,78.04,Geobacillus stearothermophilus,1
A0A0K2H4B6,67.27,Geobacillus stearothermophilus,1
A0A0K2H4C3,73.11,Geobacillus stearothermophilus,1
A0A0K2H4F8,72.83,Geobacillus stearothermophilus,1
A0A0K2H4H8,72.98,Geobacillus stearothermophilus,1
A0A0K2H4L3,68.32,Geobacillus stearothermophilus,1
A0A0K2H4P5,75.56,Geobacillus stearothermophilus,1
A0A0K2H4P8,66.53,Geobacillus stearothermophilus,1
A0A0K2H4Q8,67.47,Geobacillus stearothermophilus,1
A0A0K2H4T3,70.12,Geobacillus stearothermophilus,1
A0A0K2H4T8,62.94,Geobacillus stearothermophilus,1
A0A0K2H4U2,72.55,Geobacillus stearothermophilus,1
A0A0K2H4U6,73.83,Geobacillus stearothermophilus,1
A0A0K2H4V9,69.27,Geobacillus stearothermophilus,1
A0A0K2H4W0,70.86,Geobacillus stearothermophilus,1
A0A0K2H4W1,79.28,Geobacillus stearothermophilus,1
A0A0K2H4W4,61.62,Geobacillus stearothermophilus,1
A0A0K2H4W7,64.41,Geobacillus stearothermophilus,1
A0A0K2H4W9,60.97,Geobacillus stearothermophilus,1
A0A0K2H4X0,72.52,Geobacillus stearothermophilus,1
A0A0K2H4X4,65.22,Geobacillus stearothermophilus,1
A0A0K2H4Y0,72.35,Geobacillus stearothermophilus,1
A0A0K2H4Y3,71.68,Geobacillus stearothermophilus,1
A0A0K2H4Y7,68.44,Geobacillus stearothermophilus,1
A0A0K2H4Y8,73.89,Geobacillus stearothermophilus,1
A0A0K2H4Z0,68.59,Geobacillus stearothermophilus,1
A0A0K2H4Z5,73.4,Geobacillus stearothermophilus,1
A0A0K2H4Z6,71.72,Geobacillus stearothermophilus,1
A0A0K2H4Z9,62.18,Geobacillus stearothermophilus,1
A0A0K2H502,74.92,Geobacillus stearothermophilus,1
A0A0K2H505,74.19,Geobacillus stearothermophilus,1
A0A0K2H509,70.35,Geobacillus stearothermophilus,1
A0A0K2H511,67.22,Geobacillus stearothermophilus,1
A0A0K2H513,71.57,Geobacillus stearothermophilus,1
A0A0K2H514,62.07,Geobacillus stearothermophilus,1
A0A0K2H519,63.44,Geobacillus stearothermophilus,1
A0A0K2H521,75.99,Geobacillus stearothermophilus,1
A0A0K2H522,84.39,Geobacillus stearothermophilus,1
A0A0K2H523,80.03,Geobacillus stearothermophilus,1
A0A0K2H524,79.63,Geobacillus stearothermophilus,1
A0A0K2H533,66.5,Geobacillus stearothermophilus,1
A0A0K2H535,61.13,Geobacillus stearothermophilus,1
A0A0K2H537,72.65,Geobacillus stearothermophilus,1
A0A0K2H545,70.52,Geobacillus stearothermophilus,1
A0A0K2H551,75.75,Geobacillus stearothermophilus,1
A0A0K2H554,71.77,Geobacillus stearothermophilus,1
A0A0K2H563,75.07,Geobacillus stearothermophilus,1
A0A0K2H564,68.75,Geobacillus stearothermophilus,1
A0A0K2H568,68.71,Geobacillus stearothermophilus,1
A0A0K2H569,64.66,Geobacillus stearothermophilus,1
A0A0K2H570,71.64,Geobacillus stearothermophilus,1
A0A0K2H571,70.74,Geobacillus stearothermophilus,1
A0A0K2H572,70.42,Geobacillus stearothermophilus,1
A0A0K2H574,76.78,Geobacillus stearothermophilus,1
A0A0K2H576,66.09,Geobacillus stearothermophilus,1
A0A0K2H577,63.54,Geobacillus stearothermophilus,1
A0A0K2H580,72.73,Geobacillus stearothermophilus,1
A0A0K2H582,67.11,Geobacillus stearothermophilus,1
A0A0K2H586,65.81,Geobacillus stearothermophilus,1
A0A0K2H594,67.33,Geobacillus stearothermophilus,1
A0A0K2H597,71.85,Geobacillus stearothermophilus,1
A0A0K2H598,71.18,Geobacillus stearothermophilus,1
A0A0K2H599,70.66,Geobacillus stearothermophilus,1
A0A0K2H5A0,65.21,Geobacillus stearothermophilus,1
A0A0K2H5A1,70.32,Geobacillus stearothermophilus,1
A0A0K2H5A2,68.21,Geobacillus stearothermophilus,1
A0A0K2H5A5,72.71,Geobacillus stearothermophilus,1
A0A0K2H5A6,60.97,Geobacillus stearothermophilus,1
A0A0K2H5A7,68.92,Geobacillus stearothermophilus,1
A0A0K2H5B1,71.21,Geobacillus stearothermophilus,1
A0A0K2H5B2,73.54,Geobacillus stearothermophilus,1
A0A0K2H5B7,71.3,Geobacillus stearothermophilus,1
A0A0K2H5C2,71.24,Geobacillus stearothermophilus,1
A0A0K2H5C3,71.62,Geobacillus stearothermophilus,1
A0A0K2H5D0,66.35,Geobacillus stearothermophilus,1
A0A0K2H5D4,69.53,Geobacillus stearothermophilus,1
A0A0K2H5D5,68.41,Geobacillus stearothermophilus,1
A0A0K2H5D6,63.23,Geobacillus stearothermophilus,1
A0A0K2H5D8,67.53,Geobacillus stearothermophilus,1
A0A0K2H5D9,69.3,Geobacillus stearothermophilus,1
A0A0K2H5E0,70.2,Geobacillus stearothermophilus,1
A0A0K2H5E3,70.11,Geobacillus stearothermophilus,1
A0A0K2H5E7,65.55,Geobacillus stearothermophilus,1
A0A0K2H5F1,63.01,Geobacillus stearothermophilus,1
A0A0K2H5F5,68.29,Geobacillus stearothermophilus,1
A0A0K2H5F7,67.91,Geobacillus stearothermophilus,1
A0A0K2H5F8,67.85,Geobacillus stearothermophilus,1
A0A0K2H5G3,74.41,Geobacillus stearothermophilus,1
A0A0K2H5G4,74.41,Geobacillus stearothermophilus,1
A0A0K2H5G5,75.68,Geobacillus stearothermophilus,1
A0A0K2H5G7,69.55,Geobacillus stearothermophilus,1
A0A0K2H5G9,59.19,Geobacillus stearothermophilus,1
A0A0K2H5H0,62.43,Geobacillus stearothermophilus,1
A0A0K2H5H2,84.99,Geobacillus stearothermophilus,1
A0A0K2H5H5,82.61,Geobacillus stearothermophilus,1
A0A0K2H5H6,60.46,Geobacillus stearothermophilus,1
A0A0K2H5I0,67.99,Geobacillus stearothermophilus,1
A0A0K2H5J1,60.06,Geobacillus stearothermophilus,1
A0A0K2H5J7,68.39,Geobacillus stearothermophilus,1
A0A0K2H5J8,70.79,Geobacillus stearothermophilus,1
A0A0K2H5K6,70.69,Geobacillus stearothermophilus,1
A0A0K2H5L1,71.54,Geobacillus stearothermophilus,1
A0A0K2H5L4,67.92,Geobacillus stearothermophilus,1
A0A0K2H5L6,78.38,Geobacillus stearothermophilus,1
A0A0K2H5L7,75.8,Geobacillus stearothermophilus,1
A0A0K2H5L8,72.44,Geobacillus stearothermophilus,1
A0A0K2H5M1,70.39,Geobacillus stearothermophilus,1
A0A0K2H5N5,64.13,Geobacillus stearothermophilus,1
A0A0K2H5Q4,69.89,Geobacillus stearothermophilus,1
A0A0K2H5Q6,71.07,Geobacillus stearothermophilus,1
A0A0K2H5Q9,63.37,Geobacillus stearothermophilus,1
A0A0K2H5R2,76.84,Geobacillus stearothermophilus,1
A0A0K2H5R9,71.8,Geobacillus stearothermophilus,1
A0A0K2H5S2,78.74,Geobacillus stearothermophilus,1
A0A0K2H5S5,67.53,Geobacillus stearothermophilus,1
A0A0K2H5S9,64.45,Geobacillus stearothermophilus,1
A0A0K2H5T6,70.2,Geobacillus stearothermophilus,1
A0A0K2H5U1,64.09,Geobacillus stearothermophilus,1
A0A0K2H5U3,77.96,Geobacillus stearothermophilus,1
A0A0K2H5U7,65.82,Geobacillus stearothermophilus,1
A0A0K2H5U8,58.81,Geobacillus stearothermophilus,1
A0A0K2H5U9,66.74,Geobacillus stearothermophilus,1
A0A0K2H5V1,60.94,Geobacillus stearothermophilus,1
A0A0K2H5V8,73.44,Geobacillus stearothermophilus,1
A0A0K2H5W4,75.21,Geobacillus stearothermophilus,1
A0A0K2H5W8,63.57,Geobacillus stearothermophilus,1
A0A0K2H5X0,68.08,Geobacillus stearothermophilus,1
A0A0K2H5X4,66.62,Geobacillus stearothermophilus,1
A0A0K2H5Y3,71.9,Geobacillus stearothermophilus,1
A0A0K2H5Y7,67.9,Geobacillus stearothermophilus,1
A0A0K2H5Z1,70.92,Geobacillus stearothermophilus,1
A0A0K2H5Z3,61.81,Geobacillus stearothermophilus,1
A0A0K2H5Z5,66.1,Geobacillus stearothermophilus,1
A0A0K2H600,70.7,Geobacillus stearothermophilus,1
A0A0K2H602,73.28,Geobacillus stearothermophilus,1
A0A0K2H606,73.02,Geobacillus stearothermophilus,1
A0A0K2H612,66.57,Geobacillus stearothermophilus,1
A0A0K2H619,71.18,Geobacillus stearothermophilus,1
A0A0K2H622,67.51,Geobacillus stearothermophilus,1
A0A0K2H626,65.33,Geobacillus stearothermophilus,1
A0A0K2H628,71.15,Geobacillus stearothermophilus,1
A0A0K2H634,71.86,Geobacillus stearothermophilus,1
A0A0K2H638,67.17,Geobacillus stearothermophilus,1
A0A0K2H640,63.55,Geobacillus stearothermophilus,1
A0A0K2H642,72.36,Geobacillus stearothermophilus,1
A0A0K2H643,63.93,Geobacillus stearothermophilus,1
A0A0K2H646,70.12,Geobacillus stearothermophilus,1
A0A0K2H648,74.17,Geobacillus stearothermophilus,1
A0A0K2H650,75.46,Geobacillus stearothermophilus,1
A0A0K2H651,79.83,Geobacillus stearothermophilus,1
A0A0K2H653,73.52,Geobacillus stearothermophilus,1
A0A0K2H655,69.69,Geobacillus stearothermophilus,1
A0A0K2H657,74.3,Geobacillus stearothermophilus,1
A0A0K2H658,69.02,Geobacillus stearothermophilus,1
A0A0K2H660,73.55,Geobacillus stearothermophilus,1
A0A0K2H662,66.21,Geobacillus stearothermophilus,1
A0A0K2H663,70.16,Geobacillus stearothermophilus,1
A0A0K2H666,59.62,Geobacillus stearothermophilus,1
A0A0K2H671,72.07,Geobacillus stearothermophilus,1
A0A0K2H673,73.95,Geobacillus stearothermophilus,1
A0A0K2H675,66.99,Geobacillus stearothermophilus,1
A0A0K2H676,65.88,Geobacillus stearothermophilus,1
A0A0K2H677,62.35,Geobacillus stearothermophilus,1
A0A0K2H682,67.46,Geobacillus stearothermophilus,1
A0A0K2H684,68.69,Geobacillus stearothermophilus,1
A0A0K2H692,74.97,Geobacillus stearothermophilus,1
A0A0K2H695,69.97,Geobacillus stearothermophilus,1
A0A0K2H697,73.33,Geobacillus stearothermophilus,1
A0A0K2H698,76.32,Geobacillus stearothermophilus,1
A0A0K2H699,62.65,Geobacillus stearothermophilus,1
A0A0K2H6A2,71.98,Geobacillus stearothermophilus,1
A0A0K2H6A3,73.65,Geobacillus stearothermophilus,1
A0A0K2H6A9,63.58,Geobacillus stearothermophilus,1
A0A0K2H6B0,66.19,Geobacillus stearothermophilus,1
A0A0K2H6C1,72.71,Geobacillus stearothermophilus,1
A0A0K2H6C7,66.76,Geobacillus stearothermophilus,1
A0A0K2H6C8,72.87,Geobacillus stearothermophilus,1
A0A0K2H6D0,78.04,Geobacillus stearothermophilus,1
A0A0K2H6D1,69.18,Geobacillus stearothermophilus,1
A0A0K2H6E7,76.48,Geobacillus stearothermophilus,1
A0A0K2H6E8,76.65,Geobacillus stearothermophilus,1
A0A0K2H6F0,70.41,Geobacillus stearothermophilus,1
A0A0K2H6F2,72.3,Geobacillus stearothermophilus,1
A0A0K2H6F4,69.82,Geobacillus stearothermophilus,1
A0A0K2H6G3,71.86,Geobacillus stearothermophilus,1
A0A0K2H6G6,72.54,Geobacillus stearothermophilus,1
A0A0K2H6G7,69.83,Geobacillus stearothermophilus,1
A0A0K2H6G8,72.19,Geobacillus stearothermophilus,1
A0A0K2H6H0,71.4,Geobacillus stearothermophilus,1
A0A0K2H6H1,79.09,Geobacillus stearothermophilus,1
A0A0K2H6H6,76.76,Geobacillus stearothermophilus,1
A0A0K2H6H7,66.14,Geobacillus stearothermophilus,1
A0A0K2H6I5,71.73,Geobacillus stearothermophilus,1
A0A0K2H6I6,70.97,Geobacillus stearothermophilus,1
A0A0K2H6I9,71.44,Geobacillus stearothermophilus,1
A0A0K2H6J0,74.44,Geobacillus stearothermophilus,1
A0A0K2H6J1,81.53,Geobacillus stearothermophilus,1
A0A0K2H6J8,73.17,Geobacillus stearothermophilus,1
A0A0K2H6J9,72.7,Geobacillus stearothermophilus,1
A0A0K2H6K2,72.34,Geobacillus stearothermophilus,1
A0A0K2H6K6,70.36,Geobacillus stearothermophilus,1
A0A0K2H6K7,71.66,Geobacillus stearothermophilus,1
A0A0K2H6L2,65.93,Geobacillus stearothermophilus,1
A0A0K2H6L3,64.02,Geobacillus stearothermophilus,1
A0A0K2H6L6,78.96,Geobacillus stearothermophilus,1
A0A0K2H6L9,67.13,Geobacillus stearothermophilus,1
A0A0K2H6M0,76.99,Geobacillus stearothermophilus,1
A0A0K2H6M2,74.9,Geobacillus stearothermophilus,1
A0A0K2H6M4,76.39,Geobacillus stearothermophilus,1
A0A0K2H6M5,78.94,Geobacillus stearothermophilus,1
A0A0K2H6M6,61.81,Geobacillus stearothermophilus,1
A0A0K2H6N0,67.01,Geobacillus stearothermophilus,1
A0A0K2H6N2,70.4,Geobacillus stearothermophilus,1
A0A0K2H6N6,71.68,Geobacillus stearothermophilus,1
A0A0K2H6P1,67.56,Geobacillus stearothermophilus,1
A0A0K2H6P2,60.96,Geobacillus stearothermophilus,1
A0A0K2H6Q0,64.43,Geobacillus stearothermophilus,1
A0A0K2H6Q4,65.18,Geobacillus stearothermophilus,1
A0A0K2H6Q6,66.0,Geobacillus stearothermophilus,1
A0A0K2H6Q8,66.01,Geobacillus stearothermophilus,1
A0A0K2H6R6,67.77,Geobacillus stearothermophilus,1
A0A0K2H6S1,74.02,Geobacillus stearothermophilus,1
A0A0K2H6S3,68.25,Geobacillus stearothermophilus,1
A0A0K2H6S7,71.88,Geobacillus stearothermophilus,1
A0A0K2H6S9,66.62,Geobacillus stearothermophilus,1
A0A0K2H6T0,71.51,Geobacillus stearothermophilus,1
A0A0K2H6T3,67.49,Geobacillus stearothermophilus,1
A0A0K2H6U0,67.45,Geobacillus stearothermophilus,1
A0A0K2H6U1,61.72,Geobacillus stearothermophilus,1
A0A0K2H6U5,68.6,Geobacillus stearothermophilus,1
A0A0K2H6U9,82.49,Geobacillus stearothermophilus,1
A0A0K2H6V0,69.14,Geobacillus stearothermophilus,1
A0A0K2H6V2,71.24,Geobacillus stearothermophilus,1
A0A0K2H6V5,69.24,Geobacillus stearothermophilus,1
A0A0K2H6W1,71.63,Geobacillus stearothermophilus,1
A0A0K2H6W2,73.13,Geobacillus stearothermophilus,1
A0A0K2H6W3,68.6,Geobacillus stearothermophilus,1
A0A0K2H6W4,70.75,Geobacillus stearothermophilus,1
A0A0K2H6W7,66.22,Geobacillus stearothermophilus,1
A0A0K2H6W9,70.59,Geobacillus stearothermophilus,1
A0A0K2H6X7,72.41,Geobacillus stearothermophilus,1
A0A0K2H6Y0,72.45,Geobacillus stearothermophilus,1
A0A0K2H6Y8,82.63,Geobacillus stearothermophilus,1
A0A0K2H6Z3,75.61,Geobacillus stearothermophilus,1
A0A0K2H6Z4,69.26,Geobacillus stearothermophilus,1
A0A0K2H6Z6,67.88,Geobacillus stearothermophilus,1
A0A0K2H6Z9,71.74,Geobacillus stearothermophilus,1
A0A0K2H700,75.96,Geobacillus stearothermophilus,1
A0A0K2H708,64.21,Geobacillus stearothermophilus,1
A0A0K2H712,69.8,Geobacillus stearothermophilus,1
A0A0K2H717,70.06,Geobacillus stearothermophilus,1
A0A0K2H723,74.36,Geobacillus stearothermophilus,1
A0A0K2H734,76.91,Geobacillus stearothermophilus,1
A0A0K2H740,76.04,Geobacillus stearothermophilus,1
A0A0K2H741,64.05,Geobacillus stearothermophilus,1
A0A0K2H749,84.65,Geobacillus stearothermophilus,1
A0A0K2H755,63.2,Geobacillus stearothermophilus,1
A0A0K2H756,71.22,Geobacillus stearothermophilus,1
A0A0K2H758,74.21,Geobacillus stearothermophilus,1
A0A0K2H765,64.77,Geobacillus stearothermophilus,1
A0A0K2H766,76.9,Geobacillus stearothermophilus,1
A0A0K2H770,73.65,Geobacillus stearothermophilus,1
A0A0K2H771,70.99,Geobacillus stearothermophilus,1
A0A0K2H773,69.6,Geobacillus stearothermophilus,1
A0A0K2H775,72.45,Geobacillus stearothermophilus,1
A0A0K2H776,70.33,Geobacillus stearothermophilus,1
A0A0K2H783,63.56,Geobacillus stearothermophilus,1
A0A0K2H785,70.78,Geobacillus stearothermophilus,1
A0A0K2H788,68.24,Geobacillus stearothermophilus,1
A0A0K2H791,82.37,Geobacillus stearothermophilus,1
A0A0K2H792,63.74,Geobacillus stearothermophilus,1
A0A0K2H797,70.3,Geobacillus stearothermophilus,1
A0A0K2H799,69.07,Geobacillus stearothermophilus,1
A0A0K2H7A3,57.38,Geobacillus stearothermophilus,1
A0A0K2H7A5,78.25,Geobacillus stearothermophilus,1
A0A0K2H7A6,69.43,Geobacillus stearothermophilus,1
A0A0K2H7B3,61.78,Geobacillus stearothermophilus,1
A0A0K2H7B6,67.93,Geobacillus stearothermophilus,1
A0A0K2H7C3,66.99,Geobacillus stearothermophilus,1
A0A0K2H7C6,71.64,Geobacillus stearothermophilus,1
A0A0K2H7C7,79.44,Geobacillus stearothermophilus,1
A0A0K2H7C8,67.15,Geobacillus stearothermophilus,1
A0A0K2H7D2,75.36,Geobacillus stearothermophilus,1
A0A0K2H7D8,70.29,Geobacillus stearothermophilus,1
A0A0K2H7E9,70.76,Geobacillus stearothermophilus,1
A0A0K2H7F1,64.38,Geobacillus stearothermophilus,1
A0A0K2H7F2,68.07,Geobacillus stearothermophilus,1
A0A0K2H7F7,73.93,Geobacillus stearothermophilus,1
A0A0K2H7F9,71.49,Geobacillus stearothermophilus,1
A0A0K2H7G5,69.0,Geobacillus stearothermophilus,1
A0A0K2H7G7,76.88,Geobacillus stearothermophilus,1
A0A0K2H7H1,72.04,Geobacillus stearothermophilus,1
A0A0K2H7H2,64.68,Geobacillus stearothermophilus,1
A0A0K2H7H4,79.32,Geobacillus stearothermophilus,1
A0A0K2H7H5,72.55,Geobacillus stearothermophilus,1
A0A0K2H7H6,71.55,Geobacillus stearothermophilus,1
A0A0K2H7H7,66.9,Geobacillus stearothermophilus,1
A0A0K2H7I3,66.84,Geobacillus stearothermophilus,1
A0A0K2H7I5,66.78,Geobacillus stearothermophilus,1
